year,week_of_year,s2_snow_above_1200_smoothed_zscore,s2_snow_1200_1800_smoothed_zscore,s2_snow_above_1800_smoothed_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,temp_1200_smoothed_zscore,temp_1200_1800_smoothed_zscore,temp_1800_smoothed_zscore,precip_1200_smoothed_zscore,precip_1200_1800_smoothed_zscore,precip_1800_smoothed_zscore
2018,2,0.742936364,-0.232084781,1.629728995,1.205794326,-0.208494768,0.400825779,-1.324142882,-1.351953171,-1.337070466,2.482973518,2.240870191,1.838312494
2018,3,1.958132397,1.971936913,1.732955818,0.917935664,3.665470511,2.2061481,-1.359597116,-1.385584705,-1.361641609,2.949641977,2.875825237,2.683294058
2018,4,1.723312898,0.580572026,2.670566947,-0.175378533,0.498461515,2.098204366,-1.410603592,-1.378157343,-1.3404125,-0.548782799,-0.577387855,-0.619630761
2018,5,-0.485215972,-0.348455749,-0.56845063,-0.297491638,-0.082199965,1.240532314,-0.524295698,-0.40623997,-0.375548462,-0.663222668,-0.667147916,-0.687382058
2018,6,-0.485215972,-0.348455749,-0.56845063,-0.298887491,-0.345441228,0.595067674,-0.791078528,-0.790657638,-0.765409554,0.860938875,0.906390868,0.710682732
2018,7,-0.468126248,-0.348455749,-0.536256955,-0.188687273,0.408564882,2.248556034,-1.039119454,-1.038777305,-1.045314269,2.339013035,2.482965381,2.730967519
2018,8,0.106231028,-0.340079432,0.537411345,-0.239888619,-0.352065991,0.702316476,-1.010946722,-1.025456203,-1.038813941,0.800763857,0.901405157,0.868905415
2018,9,-0.06095427,-0.348455749,0.230774857,-0.31092071,-0.375678969,0.083618678,-0.375914293,-0.347653789,-0.347596823,-0.62776777,-0.643125005,-0.682727307
2018,10,-0.17619547,-0.348455749,0.013683134,-0.298971724,-0.37900536,-0.237850442,-0.751605515,-0.691824459,-0.650731776,-0.378576143,-0.385025417,-0.447579644
2018,11,-0.255367493,-0.348455749,-0.135461365,-0.314229845,-0.379117441,-0.375083995,-0.102635734,-0.070347086,-0.051636876,-0.683247081,-0.698145265,-0.734544256
2018,12,-0.358602328,-0.348455749,-0.329935461,-0.313652251,-0.378761185,-0.464545292,-0.355383013,-0.330488914,-0.292248755,0.627776773,0.723375395,0.501620408
2018,13,-0.261917504,-0.190593331,-0.304369277,-0.314302045,-0.379101429,-0.485954657,-0.255617726,-0.191034354,-0.162372149,-0.663839269,-0.6820671,-0.726273582
2018,14,-0.463256481,-0.340889244,-0.534587783,-0.314085447,-0.375378753,-0.586185679,-0.370812546,-0.323767044,-0.353464456,0.237366776,0.515013387,1.012095812
2018,15,-0.438433851,-0.348455749,-0.480322327,-0.316612423,-0.379117441,-0.623027315,0.161037829,0.20311197,0.169329736,-0.692418267,-0.709097942,-0.744150417
2018,16,-0.466152161,-0.338888599,-0.542026928,-0.31305059,-0.377840523,-0.640448527,-0.16250516,-0.174261623,-0.192550266,0.537545509,0.426615176,0.652843891
2018,17,-0.434471807,-0.305639013,-0.515324536,-0.31129374,-0.365523667,-0.636901981,0.454437648,0.291824216,0.206969896,-0.076156587,0.381230941,0.569799998
2018,18,-0.047400471,0.346559292,-0.433012931,-0.288803654,-0.379117441,-0.647476578,0.102005034,0.05044881,0.01567458,1.293204692,1.494756571,1.655343982
2018,19,-0.484792419,-0.348455749,-0.56765274,-0.303989576,-0.378789205,-0.665411286,0.334270212,0.266448204,0.219426857,-0.26934495,-0.340674585,-0.393121486
2018,20,-0.485215972,-0.348455749,-0.56845063,-0.316034828,-0.379117441,-0.665794697,1.086370285,1.033732015,0.938892259,-0.630025535,-0.558341262,-0.50719039
2018,21,-0.44440087,-0.297395847,-0.542204562,-0.312954324,-0.377408212,-0.663617473,0.505973065,0.484823876,0.428398475,0.773425455,0.998343316,1.690243561
